# Summary: Whole-Script Confusables
# File: confusablesWholeScript.txt
# Version: 2.1
# Generated: 2010-04-13, 01:33:25 GMT
# Checkin: $Revision: 1.29 $
#
# For documentation and usage, see http://www.unicode.org/reports/tr39/
#
# This data is used for determining whether a strings is a
# whole-script or mixed-script confusable.
# The mappings here ignore common and inherited script characters,
# such as accents.

# Lowercase Only

# Arabic; Latin: [ةۃ]

0629          ; Arab; Latn; L #      (ة)  ARABIC LETTER TEH MARBUTA
14B6..14B7    ; Cans; Latn; L #  [2] (ᒶ..ᒷ)  CANADIAN SYLLABICS MWA..CANADIAN SYLLABICS WEST-CREE MWA
152F..1530    ; Cans; Latn; L #  [2] (ᔯ..ᔰ)  CANADIAN SYLLABICS YWE..CANADIAN SYLLABICS WEST-CREE YWE
1541          ; Cans; Latn; L #      (ᕁ)  CANADIAN SYLLABICS SAYISI YI
157D          ; Cans; Latn; L #      (ᕽ)  CANADIAN SYLLABICS HK
15AF          ; Cans; Latn; L #      (ᖯ)  CANADIAN SYLLABICS AIVILIK B

# Total code points: 15

# Canadian_Aboriginal; Tifinagh: [ᐃᐎᐏᐧᐯᐱᒪᒶᒷᔯᔰ]

1403          ; Cans; Tfng; L #      (ᐃ)  CANADIAN SYLLABICS I
140E..140F    ; Cans; Tfng; L #  [2] (ᐎ..ᐏ)  CANADIAN SYLLABICS WI..CANADIAN SYLLABICS WEST-CREE WI
1427          ; Cans; Tfng; L #      (ᐧ)  CANADIAN SYLLABICS FINAL MIDDLE DOT
142F          ; Cans; Tfng; L #      (ᐯ)  CANADIAN SYLLABICS PE
1431          ; Cans; Tfng; L #      (ᐱ)  CANADIAN SYLLABICS PI
14AA          ; Cans; Tfng; L #      (ᒪ)  CANADIAN SYLLABICS MA
14B6..14B7    ; Cans; Tfng; L #  [2] (ᒶ..ᒷ)  CANADIAN SYLLABICS MWA..CANADIAN SYLLABICS WEST-CREE MWA
152F..1530    ; Cans; Tfng; L #  [2] (ᔯ..ᔰ)  CANADIAN SYLLABICS YWE..CANADIAN SYLLABICS WEST-CREE YWE

# Total code points: 11

# Tifinagh; Bengali: [ⴱⵔ]

2D31          ; Tfng; Beng; L #      (ⴱ)  TIFINAGH LETTER YAB
2D54          ; Tfng; Beng; L #      (ⵔ)  TIFINAGH LETTER YAR

# Total code points: 2

# Tifinagh; Greek: [ⴱⵔ]

2D31          ; Tfng; Grek; L #      (ⴱ)  TIFINAGH LETTER YAB
2D54          ; Tfng; Grek; L #      (ⵔ)  TIFINAGH LETTER YAR

# Total code points: 2

# Tifinagh; Han: [ⴱⵔ]

2D31          ; Tfng; Hani; L #      (ⴱ)  TIFINAGH LETTER YAB
2D54          ; Tfng; Hani; L #      (ⵔ)  TIFINAGH LETTER YAR

# Total code points: 2

# Tifinagh; Hebrew: [ⵏ]

2D4F          ; Tfng; Hebr; L #      (ⵏ)  TIFINAGH LETTER YAN

# Total code points: 1

# Tifinagh; Latin: [ⵏ]

2D4F          ; Tfng; Latn; L #      (ⵏ)  TIFINAGH LETTER YAN

# Total code points: 1

# Tifinagh; Malayalam: [ⴱⵔ]

2D31          ; Tfng; Mlym; L #      (ⴱ)  TIFINAGH LETTER YAB
2D54          ; Tfng; Mlym; L #      (ⵔ)  TIFINAGH LETTER YAR

# Total code points: 2

# Tifinagh; Oriya: [ⴱⵔ]

2D31          ; Tfng; Orya; L #      (ⴱ)  TIFINAGH LETTER YAB
2D54          ; Tfng; Orya; L #      (ⵔ)  TIFINAGH LETTER YAR

# Total code points: 2

# Tifinagh; Canadian_Aboriginal: [ⴷⴸⵏⵠ]

2D37..2D38    ; Tfng; Cans; L #  [2] (ⴷ..ⴸ)  TIFINAGH LETTER YAD..TIFINAGH LETTER YADH
2D4F          ; Tfng; Cans; L #      (ⵏ)  TIFINAGH LETTER YAN
2D60          ; Tfng; Cans; L #      (ⵠ)  TIFINAGH LETTER YAV

# Total code points: 4


# Any-Case

# Arabic; Latin: [ةۃ]

0629          ; Arab; Latn; A #      (ة)  ARABIC LETTER TEH MARBUTA
06C3          ; Arab; Latn; A #      (ۃ)  ARABIC LETTER TEH MARBUTA GOAL

# Total code points: 2

# Armenian; Bengali: [Օ]

0555          ; Armn; Beng; A #      (Օ)  ARMENIAN CAPITAL LETTER OH

# Total code points: 1

# Armenian; Cyrillic: [ՅՏՓՕագզհյոռսօ]

0545          ; Armn; Cyrl; A #      (Յ)  ARMENIAN CAPITAL LETTER YI
054F          ; Armn; Cyrl; A #      (Տ)  ARMENIAN CAPITAL LETTER TIWN
0553          ; Armn; Cyrl; A #      (Փ)  ARMENIAN CAPITAL LETTER PIWR
0555          ; Armn; Cyrl; A #      (Օ)  ARMENIAN CAPITAL LETTER OH
0561          ; Armn; Cyrl; A #      (ա)  ARMENIAN SMALL LETTER AYB
0563          ; Armn; Cyrl; A #      (գ)  ARMENIAN SMALL LETTER GIM
0566          ; Armn; Cyrl; A #      (զ)  ARMENIAN SMALL LETTER ZA
0570          ; Armn; Cyrl; A #      (հ)  ARMENIAN SMALL LETTER HO
0575          ; Armn; Cyrl; A #      (յ)  ARMENIAN SMALL LETTER YI
0578          ; Armn; Cyrl; A #      (ո)  ARMENIAN SMALL LETTER VO
057C..057D    ; Armn; Cyrl; A #  [2] (ռ..ս)  ARMENIAN SMALL LETTER RA..ARMENIAN SMALL LETTER SEH
0585          ; Armn; Cyrl; A #      (օ)  ARMENIAN SMALL LETTER OH

# Total code points: 13

# Armenian; Devanagari: [օ]

0585          ; Armn; Deva; A #      (օ)  ARMENIAN SMALL LETTER OH

# Total code points: 1

# Armenian; Greek: [ՓՕծոռսօ]

0553          ; Armn; Grek; A #      (Փ)  ARMENIAN CAPITAL LETTER PIWR
0555          ; Armn; Grek; A #      (Օ)  ARMENIAN CAPITAL LETTER OH
056E          ; Armn; Grek; A #      (ծ)  ARMENIAN SMALL LETTER CA
0578          ; Armn; Grek; A #      (ո)  ARMENIAN SMALL LETTER VO
057C..057D    ; Armn; Grek; A #  [2] (ռ..ս)  ARMENIAN SMALL LETTER RA..ARMENIAN SMALL LETTER SEH
0585          ; Armn; Grek; A #      (օ)  ARMENIAN SMALL LETTER OH

# Total code points: 7

# Armenian; Gujarati: [օ]

0585          ; Armn; Gujr; A #      (օ)  ARMENIAN SMALL LETTER OH

# Total code points: 1

# Armenian; Gurmukhi: [օ]

0585          ; Armn; Guru; A #      (օ)  ARMENIAN SMALL LETTER OH

# Total code points: 1

# Armenian; Han: [Օ]

0555          ; Armn; Hani; A #      (Օ)  ARMENIAN CAPITAL LETTER OH

# Total code points: 1

# Armenian; Hebrew: [օ]

0585          ; Armn; Hebr; A #      (օ)  ARMENIAN SMALL LETTER OH

# Total code points: 1

# Armenian; Kannada: [օ]

0585          ; Armn; Knda; A #      (օ)  ARMENIAN SMALL LETTER OH

# Total code points: 1

# Armenian; Lao: [օ]

0585          ; Armn; Laoo; A #      (օ)  ARMENIAN SMALL LETTER OH

# Total code points: 1

# Armenian; Latin: [ՍՏՕագզհյոռսցքօ]

054D          ; Armn; Latn; A #      (Ս)  ARMENIAN CAPITAL LETTER SEH
054F          ; Armn; Latn; A #      (Տ)  ARMENIAN CAPITAL LETTER TIWN
0555          ; Armn; Latn; A #      (Օ)  ARMENIAN CAPITAL LETTER OH
0561          ; Armn; Latn; A #      (ա)  ARMENIAN SMALL LETTER AYB
0563          ; Armn; Latn; A #      (գ)  ARMENIAN SMALL LETTER GIM
0566          ; Armn; Latn; A #      (զ)  ARMENIAN SMALL LETTER ZA
0570          ; Armn; Latn; A #      (հ)  ARMENIAN SMALL LETTER HO
0575          ; Armn; Latn; A #      (յ)  ARMENIAN SMALL LETTER YI
0578          ; Armn; Latn; A #      (ո)  ARMENIAN SMALL LETTER VO
057C..057D    ; Armn; Latn; A #  [2] (ռ..ս)  ARMENIAN SMALL LETTER RA..ARMENIAN SMALL LETTER SEH
0581          ; Armn; Latn; A #      (ց)  ARMENIAN SMALL LETTER CO
0584..0585    ; Armn; Latn; A #  [2] (ք..օ)  ARMENIAN SMALL LETTER KEH..ARMENIAN SMALL LETTER OH

# Total code points: 14

# Armenian; Malayalam: [Օօ]

0555          ; Armn; Mlym; A #      (Օ)  ARMENIAN CAPITAL LETTER OH
0585          ; Armn; Mlym; A #      (օ)  ARMENIAN SMALL LETTER OH

# Total code points: 2

# Armenian; Myanmar: [օ]

0585          ; Armn; Mymr; A #      (օ)  ARMENIAN SMALL LETTER OH

# Total code points: 1

# Armenian; Oriya: [Օ]

0555          ; Armn; Orya; A #      (Օ)  ARMENIAN CAPITAL LETTER OH

# Total code points: 1

# Armenian; Sinhala: [օ]

0585          ; Armn; Sinh; A #      (օ)  ARMENIAN SMALL LETTER OH

# Total code points: 1

# Armenian; Tamil: [օ]

0585          ; Armn; Taml; A #      (օ)  ARMENIAN SMALL LETTER OH

# Total code points: 1

# Armenian; Telugu: [օ]

0585          ; Armn; Telu; A #      (օ)  ARMENIAN SMALL LETTER OH

# Total code points: 1

# Armenian; Thai: [օ]

0585          ; Armn; Thai; A #      (օ)  ARMENIAN SMALL LETTER OH

# Total code points: 1

# Armenian; Canadian_Aboriginal: [ՈՍծ]

0548          ; Armn; Cans; A #      (Ո)  ARMENIAN CAPITAL LETTER VO
054D          ; Armn; Cans; A #      (Ս)  ARMENIAN CAPITAL LETTER SEH
056E          ; Armn; Cans; A #      (ծ)  ARMENIAN SMALL LETTER CA

# Total code points: 3

# Armenian; Tifinagh: [Օ]

0555          ; Armn; Tfng; A #      (Օ)  ARMENIAN CAPITAL LETTER OH

# Total code points: 1

# Bengali; Armenian: [০]

09E6          ; Beng; Armn; A #      (০)  BENGALI DIGIT ZERO

# Total code points: 1

# Bengali; Cyrillic: [০]

09E6          ; Beng; Cyrl; A #      (০)  BENGALI DIGIT ZERO

# Total code points: 1

# Bengali; Devanagari: [ঁ়]

0981          ; Beng; Deva; A #      (ঁ)  BENGALI SIGN CANDRABINDU
09BC          ; Beng; Deva; A #      (়)  BENGALI SIGN NUKTA

# Total code points: 2

# Bengali; Greek: [০]

09E6          ; Beng; Grek; A #      (০)  BENGALI DIGIT ZERO

# Total code points: 1

# Bengali; Gujarati: [ঁ়]

0981          ; Beng; Gujr; A #      (ঁ)  BENGALI SIGN CANDRABINDU
09BC          ; Beng; Gujr; A #      (়)  BENGALI SIGN NUKTA

# Total code points: 2

# Bengali; Gurmukhi: [ঃ়৪৭]

0983          ; Beng; Guru; A #      (ঃ)  BENGALI SIGN VISARGA
09BC          ; Beng; Guru; A #      (়)  BENGALI SIGN NUKTA
09EA          ; Beng; Guru; A #      (৪)  BENGALI DIGIT FOUR
09ED          ; Beng; Guru; A #      (৭)  BENGALI DIGIT SEVEN

# Total code points: 4

# Bengali; Han: [০]

09E6          ; Beng; Hani; A #      (০)  BENGALI DIGIT ZERO

# Total code points: 1

# Bengali; Kannada: [ঃ]

0983          ; Beng; Knda; A #      (ঃ)  BENGALI SIGN VISARGA

# Total code points: 1

# Bengali; Latin: [০]

09E6          ; Beng; Latn; A #      (০)  BENGALI DIGIT ZERO

# Total code points: 1

# Bengali; Malayalam: [ঃ০]

0983          ; Beng; Mlym; A #      (ঃ)  BENGALI SIGN VISARGA
09E6          ; Beng; Mlym; A #      (০)  BENGALI DIGIT ZERO

# Total code points: 2

# Bengali; Myanmar: [ঃ]

0983          ; Beng; Mymr; A #      (ঃ)  BENGALI SIGN VISARGA

# Total code points: 1

# Bengali; Oriya: [ঁ়০৪৭]

0981          ; Beng; Orya; A #      (ঁ)  BENGALI SIGN CANDRABINDU
09BC          ; Beng; Orya; A #      (়)  BENGALI SIGN NUKTA
09E6          ; Beng; Orya; A #      (০)  BENGALI DIGIT ZERO
09EA          ; Beng; Orya; A #      (৪)  BENGALI DIGIT FOUR
09ED          ; Beng; Orya; A #      (৭)  BENGALI DIGIT SEVEN

# Total code points: 5

# Bengali; Sinhala: [ঃ]

0983          ; Beng; Sinh; A #      (ঃ)  BENGALI SIGN VISARGA

# Total code points: 1

# Bengali; Telugu: [ঃ]

0983          ; Beng; Telu; A #      (ঃ)  BENGALI SIGN VISARGA

# Total code points: 1

# Bengali; Tifinagh: [০]

09E6          ; Beng; Tfng; A #      (০)  BENGALI DIGIT ZERO

# Total code points: 1

# Cyrillic; Armenian: [ЅЗОФопцјћҘһӠӨөԛԝ]

0405          ; Cyrl; Armn; A #      (Ѕ)  CYRILLIC CAPITAL LETTER DZE
0417          ; Cyrl; Armn; A #      (З)  CYRILLIC CAPITAL LETTER ZE
041E          ; Cyrl; Armn; A #      (О)  CYRILLIC CAPITAL LETTER O
0424          ; Cyrl; Armn; A #      (Ф)  CYRILLIC CAPITAL LETTER EF
043E..043F    ; Cyrl; Armn; A #  [2] (о..п)  CYRILLIC SMALL LETTER O..CYRILLIC SMALL LETTER PE
0446          ; Cyrl; Armn; A #      (ц)  CYRILLIC SMALL LETTER TSE
0458          ; Cyrl; Armn; A #      (ј)  CYRILLIC SMALL LETTER JE
045B          ; Cyrl; Armn; A #      (ћ)  CYRILLIC SMALL LETTER TSHE
0498          ; Cyrl; Armn; A #      (Ҙ)  CYRILLIC CAPITAL LETTER ZE WITH DESCENDER
04BB          ; Cyrl; Armn; A #      (һ)  CYRILLIC SMALL LETTER SHHA
04E0          ; Cyrl; Armn; A #      (Ӡ)  CYRILLIC CAPITAL LETTER ABKHASIAN DZE
04E8..04E9    ; Cyrl; Armn; A #  [2] (Ө..ө)  CYRILLIC CAPITAL LETTER BARRED O..CYRILLIC SMALL LETTER BARRED O
051B          ; Cyrl; Armn; A #      (ԛ)  CYRILLIC SMALL LETTER QA
051D          ; Cyrl; Armn; A #      (ԝ)  CYRILLIC SMALL LETTER WE

# Total code points: 16

# Cyrillic; Bengali: [ОӨ]

041E          ; Cyrl; Beng; A #      (О)  CYRILLIC CAPITAL LETTER O
04E8          ; Cyrl; Beng; A #      (Ө)  CYRILLIC CAPITAL LETTER BARRED O

# Total code points: 2

# Cyrillic; Devanagari: [оө]

043E          ; Cyrl; Deva; A #      (о)  CYRILLIC SMALL LETTER O
04E9          ; Cyrl; Deva; A #      (ө)  CYRILLIC SMALL LETTER BARRED O

# Total code points: 2

# Cyrillic; Georgian: [уүұ]

0443          ; Cyrl; Geor; A #      (у)  CYRILLIC SMALL LETTER U
04AF          ; Cyrl; Geor; A #      (ү)  CYRILLIC SMALL LETTER STRAIGHT U
04B1          ; Cyrl; Geor; A #      (ұ)  CYRILLIC SMALL LETTER STRAIGHT U WITH STROKE

# Total code points: 3

# Cyrillic; Greek: [ІАВГЕК-РТФХако-рт-фцєіҐҒҚқҞҟҢҬ-ҲӅӇӉӍӏӨөԑ]

0406          ; Cyrl; Grek; A #      (І)  CYRILLIC CAPITAL LETTER BYELORUSSIAN-UKRAINIAN I
0410          ; Cyrl; Grek; A #      (А)  CYRILLIC CAPITAL LETTER A
0412..0413    ; Cyrl; Grek; A #  [2] (В..Г)  CYRILLIC CAPITAL LETTER VE..CYRILLIC CAPITAL LETTER GHE
0415          ; Cyrl; Grek; A #      (Е)  CYRILLIC CAPITAL LETTER IE
041A..0420    ; Cyrl; Grek; A #  [7] (К..Р)  CYRILLIC CAPITAL LETTER KA..CYRILLIC CAPITAL LETTER ER
0422          ; Cyrl; Grek; A #      (Т)  CYRILLIC CAPITAL LETTER TE
0424..0425    ; Cyrl; Grek; A #  [2] (Ф..Х)  CYRILLIC CAPITAL LETTER EF..CYRILLIC CAPITAL LETTER HA
0430          ; Cyrl; Grek; A #      (а)  CYRILLIC SMALL LETTER A
043A          ; Cyrl; Grek; A #      (к)  CYRILLIC SMALL LETTER KA
043E..0440    ; Cyrl; Grek; A #  [3] (о..р)  CYRILLIC SMALL LETTER O..CYRILLIC SMALL LETTER ER
0442..0444    ; Cyrl; Grek; A #  [3] (т..ф)  CYRILLIC SMALL LETTER TE..CYRILLIC SMALL LETTER EF
0446          ; Cyrl; Grek; A #      (ц)  CYRILLIC SMALL LETTER TSE
0454          ; Cyrl; Grek; A #      (є)  CYRILLIC SMALL LETTER UKRAINIAN IE
0456          ; Cyrl; Grek; A #      (і)  CYRILLIC SMALL LETTER BYELORUSSIAN-UKRAINIAN I
0490          ; Cyrl; Grek; A #      (Ґ)  CYRILLIC CAPITAL LETTER GHE WITH UPTURN
0492          ; Cyrl; Grek; A #      (Ғ)  CYRILLIC CAPITAL LETTER GHE WITH STROKE
049A..049B    ; Cyrl; Grek; A #  [2] (Қ..қ)  CYRILLIC CAPITAL LETTER KA WITH DESCENDER..CYRILLIC SMALL LETTER KA WITH DESCENDER
049E..049F    ; Cyrl; Grek; A #  [2] (Ҟ..ҟ)  CYRILLIC CAPITAL LETTER KA WITH STROKE..CYRILLIC SMALL LETTER KA WITH STROKE
04A2          ; Cyrl; Grek; A #      (Ң)  CYRILLIC CAPITAL LETTER EN WITH DESCENDER
04AC..04B2    ; Cyrl; Grek; A #  [7] (Ҭ..Ҳ)  CYRILLIC CAPITAL LETTER TE WITH DESCENDER..CYRILLIC CAPITAL LETTER HA WITH DESCENDER
04C5          ; Cyrl; Grek; A #      (Ӆ)  CYRILLIC CAPITAL LETTER EL WITH TAIL
04C7          ; Cyrl; Grek; A #      (Ӈ)  CYRILLIC CAPITAL LETTER EN WITH HOOK
04C9          ; Cyrl; Grek; A #      (Ӊ)  CYRILLIC CAPITAL LETTER EN WITH TAIL
04CD          ; Cyrl; Grek; A #      (Ӎ)  CYRILLIC CAPITAL LETTER EM WITH TAIL
04CF          ; Cyrl; Grek; A #      (ӏ)  CYRILLIC SMALL LETTER PALOCHKA
04E8..04E9    ; Cyrl; Grek; A #  [2] (Ө..ө)  CYRILLIC CAPITAL LETTER BARRED O..CYRILLIC SMALL LETTER BARRED O
0511          ; Cyrl; Grek; A #      (ԑ)  CYRILLIC SMALL LETTER REVERSED ZE

# Total code points: 48

# Cyrillic; Gujarati: [оө]

043E          ; Cyrl; Gujr; A #      (о)  CYRILLIC SMALL LETTER O
04E9          ; Cyrl; Gujr; A #      (ө)  CYRILLIC SMALL LETTER BARRED O

# Total code points: 2

# Cyrillic; Gurmukhi: [оө]

043E          ; Cyrl; Guru; A #      (о)  CYRILLIC SMALL LETTER O
04E9          ; Cyrl; Guru; A #      (ө)  CYRILLIC SMALL LETTER BARRED O

# Total code points: 2

# Cyrillic; Han: [ОӨ]

041E          ; Cyrl; Hani; A #      (О)  CYRILLIC CAPITAL LETTER O
04E8          ; Cyrl; Hani; A #      (Ө)  CYRILLIC CAPITAL LETTER BARRED O

# Total code points: 2

# Cyrillic; Hebrew: [Іоө]

0406          ; Cyrl; Hebr; A #      (І)  CYRILLIC CAPITAL LETTER BYELORUSSIAN-UKRAINIAN I
043E          ; Cyrl; Hebr; A #      (о)  CYRILLIC SMALL LETTER O
04E9          ; Cyrl; Hebr; A #      (ө)  CYRILLIC SMALL LETTER BARRED O

# Total code points: 3

# Cyrillic; Kannada: [оө]

043E          ; Cyrl; Knda; A #      (о)  CYRILLIC SMALL LETTER O
04E9          ; Cyrl; Knda; A #      (ө)  CYRILLIC SMALL LETTER BARRED O

# Total code points: 2

# Cyrillic; Lao: [оө]

043E          ; Cyrl; Laoo; A #      (о)  CYRILLIC SMALL LETTER O
04E9          ; Cyrl; Laoo; A #      (ө)  CYRILLIC SMALL LETTER BARRED O

# Total code points: 2

# Cyrillic; Latin: [ЅІЈА-ВЕКМ-ОР-ТХЫЬагеко-ухцъѕіјћҌҍґғҚқҞҟҢҪ-ҲһӇӉӍӏӔӕӨөԁԌԛ-ԝ]

0405..0406    ; Cyrl; Latn; A #  [2] (Ѕ..І)  CYRILLIC CAPITAL LETTER DZE..CYRILLIC CAPITAL LETTER BYELORUSSIAN-UKRAINIAN I
0408          ; Cyrl; Latn; A #      (Ј)  CYRILLIC CAPITAL LETTER JE
0410..0412    ; Cyrl; Latn; A #  [3] (А..В)  CYRILLIC CAPITAL LETTER A..CYRILLIC CAPITAL LETTER VE
0415          ; Cyrl; Latn; A #      (Е)  CYRILLIC CAPITAL LETTER IE
041A          ; Cyrl; Latn; A #      (К)  CYRILLIC CAPITAL LETTER KA
041C..041E    ; Cyrl; Latn; A #  [3] (М..О)  CYRILLIC CAPITAL LETTER EM..CYRILLIC CAPITAL LETTER O
0420..0422    ; Cyrl; Latn; A #  [3] (Р..Т)  CYRILLIC CAPITAL LETTER ER..CYRILLIC CAPITAL LETTER TE
0425          ; Cyrl; Latn; A #      (Х)  CYRILLIC CAPITAL LETTER HA
042B..042C    ; Cyrl; Latn; A #  [2] (Ы..Ь)  CYRILLIC CAPITAL LETTER YERU..CYRILLIC CAPITAL LETTER SOFT SIGN
0430          ; Cyrl; Latn; A #      (а)  CYRILLIC SMALL LETTER A
0433          ; Cyrl; Latn; A #      (г)  CYRILLIC SMALL LETTER GHE
0435          ; Cyrl; Latn; A #      (е)  CYRILLIC SMALL LETTER IE
043A          ; Cyrl; Latn; A #      (к)  CYRILLIC SMALL LETTER KA
043E..0443    ; Cyrl; Latn; A #  [6] (о..у)  CYRILLIC SMALL LETTER O..CYRILLIC SMALL LETTER U
0445..0446    ; Cyrl; Latn; A #  [2] (х..ц)  CYRILLIC SMALL LETTER HA..CYRILLIC SMALL LETTER TSE
044A          ; Cyrl; Latn; A #      (ъ)  CYRILLIC SMALL LETTER HARD SIGN
0455..0456    ; Cyrl; Latn; A #  [2] (ѕ..і)  CYRILLIC SMALL LETTER DZE..CYRILLIC SMALL LETTER BYELORUSSIAN-UKRAINIAN I
0458          ; Cyrl; Latn; A #      (ј)  CYRILLIC SMALL LETTER JE
045B          ; Cyrl; Latn; A #      (ћ)  CYRILLIC SMALL LETTER TSHE
048C..048D    ; Cyrl; Latn; A #  [2] (Ҍ..ҍ)  CYRILLIC CAPITAL LETTER SEMISOFT SIGN..CYRILLIC SMALL LETTER SEMISOFT SIGN
0491          ; Cyrl; Latn; A #      (ґ)  CYRILLIC SMALL LETTER GHE WITH UPTURN
0493          ; Cyrl; Latn; A #      (ғ)  CYRILLIC SMALL LETTER GHE WITH STROKE
049A..049B    ; Cyrl; Latn; A #  [2] (Қ..қ)  CYRILLIC CAPITAL LETTER KA WITH DESCENDER..CYRILLIC SMALL LETTER KA WITH DESCENDER
049E..049F    ; Cyrl; Latn; A #  [2] (Ҟ..ҟ)  CYRILLIC CAPITAL LETTER KA WITH STROKE..CYRILLIC SMALL LETTER KA WITH STROKE
04A2          ; Cyrl; Latn; A #      (Ң)  CYRILLIC CAPITAL LETTER EN WITH DESCENDER
04AA..04B2    ; Cyrl; Latn; A #  [9] (Ҫ..Ҳ)  CYRILLIC CAPITAL LETTER ES WITH DESCENDER..CYRILLIC CAPITAL LETTER HA WITH DESCENDER
04BB          ; Cyrl; Latn; A #      (һ)  CYRILLIC SMALL LETTER SHHA
04C7          ; Cyrl; Latn; A #      (Ӈ)  CYRILLIC CAPITAL LETTER EN WITH HOOK
04C9          ; Cyrl; Latn; A #      (Ӊ)  CYRILLIC CAPITAL LETTER EN WITH TAIL
04CD          ; Cyrl; Latn; A #      (Ӎ)  CYRILLIC CAPITAL LETTER EM WITH TAIL
04CF          ; Cyrl; Latn; A #      (ӏ)  CYRILLIC SMALL LETTER PALOCHKA
04D4..04D5    ; Cyrl; Latn; A #  [2] (Ӕ..ӕ)  CYRILLIC CAPITAL LIGATURE A IE..CYRILLIC SMALL LIGATURE A IE
04E8..04E9    ; Cyrl; Latn; A #  [2] (Ө..ө)  CYRILLIC CAPITAL LETTER BARRED O..CYRILLIC SMALL LETTER BARRED O
0501          ; Cyrl; Latn; A #      (ԁ)  CYRILLIC SMALL LETTER KOMI DE
050C          ; Cyrl; Latn; A #      (Ԍ)  CYRILLIC CAPITAL LETTER KOMI SJE
051B..051D    ; Cyrl; Latn; A #  [3] (ԛ..ԝ)  CYRILLIC SMALL LETTER QA..CYRILLIC SMALL LETTER WE

# Total code points: 66

# Cyrillic; Malayalam: [ОоӨө]

041E          ; Cyrl; Mlym; A #      (О)  CYRILLIC CAPITAL LETTER O
043E          ; Cyrl; Mlym; A #      (о)  CYRILLIC SMALL LETTER O
04E8..04E9    ; Cyrl; Mlym; A #  [2] (Ө..ө)  CYRILLIC CAPITAL LETTER BARRED O..CYRILLIC SMALL LETTER BARRED O

# Total code points: 4

# Cyrillic; Myanmar: [оө]

043E          ; Cyrl; Mymr; A #      (о)  CYRILLIC SMALL LETTER O
04E9          ; Cyrl; Mymr; A #      (ө)  CYRILLIC SMALL LETTER BARRED O

# Total code points: 2

# Cyrillic; Oriya: [ОӨ]

041E          ; Cyrl; Orya; A #      (О)  CYRILLIC CAPITAL LETTER O
04E8          ; Cyrl; Orya; A #      (Ө)  CYRILLIC CAPITAL LETTER BARRED O

# Total code points: 2

# Cyrillic; Sinhala: [оө]

043E          ; Cyrl; Sinh; A #      (о)  CYRILLIC SMALL LETTER O
04E9          ; Cyrl; Sinh; A #      (ө)  CYRILLIC SMALL LETTER BARRED O

# Total code points: 2

# Cyrillic; Tamil: [СоҪө]

0421          ; Cyrl; Taml; A #      (С)  CYRILLIC CAPITAL LETTER ES
043E          ; Cyrl; Taml; A #      (о)  CYRILLIC SMALL LETTER O
04AA          ; Cyrl; Taml; A #      (Ҫ)  CYRILLIC CAPITAL LETTER ES WITH DESCENDER
04E9          ; Cyrl; Taml; A #      (ө)  CYRILLIC SMALL LETTER BARRED O

# Total code points: 4

# Cyrillic; Telugu: [оө]

043E          ; Cyrl; Telu; A #      (о)  CYRILLIC SMALL LETTER O
04E9          ; Cyrl; Telu; A #      (ө)  CYRILLIC SMALL LETTER BARRED O

# Total code points: 2

# Cyrillic; Thai: [оө]

043E          ; Cyrl; Thai; A #      (о)  CYRILLIC SMALL LETTER O
04E9          ; Cyrl; Thai; A #      (ө)  CYRILLIC SMALL LETTER BARRED O

# Total code points: 2

# Cyrillic; Canadian_Aboriginal: [ІЈА-ГЛ-НРЬрхъҌҍҐҒҢӅӇӉӍԁ]

0406          ; Cyrl; Cans; A #      (І)  CYRILLIC CAPITAL LETTER BYELORUSSIAN-UKRAINIAN I
0408          ; Cyrl; Cans; A #      (Ј)  CYRILLIC CAPITAL LETTER JE
0410..0413    ; Cyrl; Cans; A #  [4] (А..Г)  CYRILLIC CAPITAL LETTER A..CYRILLIC CAPITAL LETTER GHE
041B..041D    ; Cyrl; Cans; A #  [3] (Л..Н)  CYRILLIC CAPITAL LETTER EL..CYRILLIC CAPITAL LETTER EN
0420          ; Cyrl; Cans; A #      (Р)  CYRILLIC CAPITAL LETTER ER
042C          ; Cyrl; Cans; A #      (Ь)  CYRILLIC CAPITAL LETTER SOFT SIGN
0440          ; Cyrl; Cans; A #      (р)  CYRILLIC SMALL LETTER ER
0445          ; Cyrl; Cans; A #      (х)  CYRILLIC SMALL LETTER HA
044A          ; Cyrl; Cans; A #      (ъ)  CYRILLIC SMALL LETTER HARD SIGN
048C..048D    ; Cyrl; Cans; A #  [2] (Ҍ..ҍ)  CYRILLIC CAPITAL LETTER SEMISOFT SIGN..CYRILLIC SMALL LETTER SEMISOFT SIGN
0490          ; Cyrl; Cans; A #      (Ґ)  CYRILLIC CAPITAL LETTER GHE WITH UPTURN
0492          ; Cyrl; Cans; A #      (Ғ)  CYRILLIC CAPITAL LETTER GHE WITH STROKE
04A2          ; Cyrl; Cans; A #      (Ң)  CYRILLIC CAPITAL LETTER EN WITH DESCENDER
